#Codigo;Cidade;População;Despesas (Exceto Intraorçamentárias);Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);LOF_2013_REL_NOR;LOF_2013_SUA_NOR
352130;Ipuã - SP;15184.0;40343269.84;1505000.00;0.00;0.00;3443550.96;0.00;0.00;0.00;1361009.38;764005.35;10060160.89;0.00;16255703.21;953617.30;0.00;3150629.45;0.00;1587592.20;0.00;0.00;119014.09;0.00;0.00;2000.00;0.00;0.00;523625.09;460130.16;157231.76;0.00;1.27;1.00
355170;Sertãozinho - SP;117539.0;299270293.27;7753158.97;0.00;0.00;20939768.58;0.00;7966147.01;0.00;8666141.06;10166151.88;70754702.84;0.00;83899416.00;2169040.77;0.00;16934477.19;0.00;43504315.85;9067224.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3345025.02;5435142.29;8669581.38;24443964.48;1.29;1.27
510140;Aripuanã - MT;19919.0;42225709.44;1612000.00;0.00;0.00;5659885.60;0.00;0.00;0.00;1588161.92;927060.26;11158254.45;0.00;12761315.13;29890.68;0.00;3922529.32;0.00;1206940.06;27920.80;0.00;338643.70;0.00;0.00;301121.07;0.00;0.00;1961238.66;226387.45;504360.34;0.00;1.12;1.01
293200;Uauá - BA;25274.0;38089487.77;1364517.36;0.00;0.00;3686406.63;0.00;573364.59;0.00;1863882.76;0.00;8273459.03;0.00;15829272.00;241488.85;120.00;4500727.17;0.00;39587.71;0.00;0.00;526745.46;0.00;0.00;0.00;0.00;0.00;0.00;3240.00;1186676.21;0.00;1.29;1.19
231170;Reriutaba - CE;19281.0;34158586.18;1118617.68;0.00;0.00;2449297.02;0.00;238245.78;0.00;908843.36;624136.73;7240812.01;0.00;15871648.43;1018227.42;0.00;2763781.18;0.00;13255.00;0.00;0.00;306554.77;0.00;0.00;178142.57;0.00;0.00;404688.01;167576.79;854759.43;0.00;1.18;1.05
231150;Quixeré - CE;21241.0;34199019.34;1307672.77;0.00;0.00;3278700.93;0.00;0.00;0.00;1255275.06;0.00;10755868.61;0.00;12335959.24;880064.77;0.00;2276574.92;0.00;740391.15;0.00;0.00;1146102.98;0.00;0.00;0.00;0.00;148518.04;9630.00;64260.87;0.00;0.00;1.10;1.07
292400;Paulo Afonso - BA;117377.0;204327867.63;6279239.57;0.00;0.00;30024304.63;0.00;0.00;0.00;15070283.43;0.00;64621702.73;0.00;58644193.06;2514327.88;0.00;18933608.21;0.00;451165.32;0.00;0.00;1729243.40;0.00;66715.42;1663031.93;0.00;0.00;1199738.01;0.00;3130314.04;0.00;1.13;1.53
421270;Petrolândia - SC;6140.0;12526720.74;551552.44;0.00;0.00;1500529.86;0.00;13953.17;0.00;423971.13;0.00;3388894.94;0.00;3226877.25;0.00;0.00;86387.63;14118.63;0.00;0.00;0.00;767808.16;0.00;0.00;0.00;0.00;0.00;1665345.52;407019.86;480262.15;0.00;1.20;1.11
352570;José Bonifácio - SP;34846.0;72140012.31;1817896.72;0.00;0.00;9775948.98;0.00;919289.85;0.00;2978387.92;0.00;16805163.94;0.00;20481068.07;1535959.21;0.00;4329747.88;0.00;8176311.53;0.00;0.00;140716.00;0.00;0.00;122019.36;0.00;0.00;3429451.19;231417.91;1396633.75;0.00;1.35;1.10
290440;Brejolândia - BA;10545.0;17700193.27;770000.00;0.00;0.00;1479593.29;0.00;0.00;0.00;460103.44;0.00;4164964.17;0.00;6217768.59;179847.00;0.00;3300242.19;0.00;0.00;0.00;0.00;424266.63;0.00;0.00;0.00;0.00;45776.35;2263.34;139867.66;515500.61;0.00;1.12;1.03
