#Codigo;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
291050;-0.36;-0.28;-0.15;-0.51;-0.08;-0.32;-0.01;-0.79;-0.64;-0.82;-0.22;-0.08;-0.22;0.51;-0.19;-0.17;-0.41;-0.42;-0.10;-0.53;-0.04;-0.13;-0.10;-0.21;0.74;-0.41;-0.64;0.26;-0.31
500793;0.54;0.78;-0.15;-0.50;-0.08;-0.32;-0.01;0.38;0.03;0.44;-0.22;0.15;0.94;-0.10;0.41;0.48;-0.41;-0.31;-0.10;-0.57;-0.04;-0.17;-0.20;-0.21;1.14;-0.31;-0.46;-0.51;-0.31
150775;0.36;-0.28;-0.15;0.66;-0.08;-0.32;-0.01;0.60;-0.64;-0.36;-0.22;1.39;-0.73;-0.10;-0.98;1.69;-0.41;-0.44;-0.10;0.39;-0.04;-0.17;-0.26;-0.21;-0.44;-0.24;-0.65;0.28;-0.31
431520;0.58;-0.28;-0.15;0.43;-0.08;-0.32;-0.01;-0.19;2.01;0.57;-0.22;0.07;2.23;-0.10;-0.88;0.07;-0.39;0.11;-0.10;1.58;-0.04;0.19;-0.26;-0.21;0.53;0.69;-0.48;0.19;2.15
292880;-0.48;-0.03;-0.15;-0.44;-0.08;-0.32;-0.01;-0.56;-0.64;-1.09;-0.22;-0.83;0.37;-0.10;-0.53;-0.22;0.40;-0.40;-0.10;-0.57;-0.04;-0.17;-0.26;-0.20;-0.25;-0.52;-0.56;-0.57;-0.31
291800;-0.38;-0.28;-0.15;-0.56;-0.08;-0.32;-0.01;-0.50;1.41;-0.73;-0.22;-0.77;-0.24;-0.10;-0.21;-0.22;-0.41;-0.44;-0.10;-0.53;-0.04;-0.17;-0.13;-0.21;-0.44;-0.53;-0.46;-0.81;-0.31
430710;0.66;-0.28;-0.15;0.32;-0.08;-0.32;-0.01;0.19;2.40;-0.26;-0.22;-0.69;-0.73;-0.10;-0.43;-0.22;-0.28;0.78;-0.09;0.41;-0.04;-0.17;-0.26;-0.21;-0.44;-0.25;0.02;3.99;1.32
355210;-0.62;-0.28;-0.15;-0.61;-0.08;1.74;-0.01;-0.61;-0.64;-0.21;-0.22;-0.48;-0.08;-0.10;-0.14;-0.12;-0.41;0.23;-0.10;-0.42;-0.04;0.55;3.20;-0.21;-0.44;-0.16;-0.42;0.02;-0.31
260070;-0.48;-0.01;-0.15;-0.82;-0.08;-0.32;-0.01;-0.53;2.14;-0.95;-0.20;-0.24;-0.29;-0.09;0.37;-0.22;-0.41;0.84;-0.10;-0.53;-0.04;-0.17;-0.26;-0.21;-0.44;-0.53;-0.64;0.34;-0.31
150563;-1.21;-0.28;-0.15;-0.76;-0.08;-0.32;-0.01;-0.29;-0.50;-0.65;-0.22;1.31;-0.64;-0.10;1.04;-0.21;-0.41;0.46;-0.10;-0.13;-0.04;-0.17;-0.26;-0.21;-0.44;-0.53;-0.44;-0.33;-0.31
